"stage","n_shared","genotype_matches","genotype_agreement","clone_id_matches","clone_id_agreement"
"ES",18301,18301,100,18190,99.3934757663516
"DE",14955,14955,100,14777,98.8097626211969
"DE_GemX",22605,22602,99.9867285998673,22328,98.7746073877461
"PP1",4851,4844,99.8556998556999,4840,99.7732426303855
"PP2",9886,9875,99.8887315395509,9873,99.8685009103783
"S5_1",10823,10821,99.9815208352582,10799,99.778250023099
"S5_2",11033,11031,99.9818725641258,11015,99.8368530771322
"S6_1",6750,6743,99.8962962962963,6744,99.9111111111111
"S6_2",6741,6728,99.80715027444,6739,99.9703308114523
"All",105945,105900,99.9575251309642,105305,99.3959129737128
