"stage","n_msk","n_dracc","n_shared","shared_over_msk","shared_over_dracc"
"ES",24646,25083,23901,96.9771971110931,95.2876450185385
"DE",23049,23333,22215,96.3816217623324,95.208502978614
"DE_GemX",35905,34605,33312,92.7781646010305,96.2635457303858
"PP1",9674,10980,8988,92.9088277858176,81.8579234972678
"PP2",19642,20754,19123,97.3577028815803,92.1412739712826
"S5_1",22723,23702,21896,96.3605157769661,92.3803898405198
"S5_2",23338,24535,22849,97.904704773331,93.128184226615
"S6_1",15929,17385,15476,97.156130328332,89.0192694851884
"S6_2",16729,18680,16116,96.3357044652998,86.2740899357602
"All",191635,199057,183876,95.9511571477027,92.3735412469795
