"stage","observed_doublet_overlap","expected_doublet_overlap","enrichment","log10_adjusted_p"
"ES",5002,1041.42158123584,4.80305007129217,-4014.60584920353
"DE",6719,1682.4989923418,3.99346450166256,-5291.25974129109
"DE_GemX",5688,1201.59812338729,4.73369580835031,-4276.69646828338
"PP1",1214,254.589463568059,4.76846128266995,-810.897081577858
"PP2",5021,1322.05059409736,3.79788793440855,-3582.42971333774
"S5_1",4896,1182.29893213917,4.14108468417673,-3609.68728025654
"S5_2",5356,1166.90213877145,4.58993074229769,-4309.94346398972
"S6_1",3646,866.838338684114,4.20608992160491,-2491.27249739995
"S6_2",3637,943.479540624859,3.85487956378073,-2396.82674414808
