"stage","n_msk","n_dracc","n_shared","shared_over_msk","shared_over_dracc"
"ES",18932,20975,18301,96.6670188041411,87.2514898688915
"DE",15554,16473,14955,96.1489006043462,90.7849207794573
"DE_GemX",24256,24876,22605,93.1934366754617,90.8707187650748
"PP1",5247,5958,4851,92.4528301886792,81.4199395770393
"PP2",10141,11783,9886,97.4854550833251,83.9005346685903
"S5_1",11082,12559,10823,97.6628767370511,86.1772434110996
"S5_2",11332,12397,11033,97.3614542887398,88.997338065661
"S6_1",7037,8195,6750,95.9215574818815,82.3672971323978
"S6_2",6987,8228,6741,96.4791756118506,81.9275644141954
"All",110568,121444,105945,95.8188626003907,87.237739204901
