"stage","n_common","both_singlet","both_doublet","msk_doublet_dracc_singlet","msk_singlet_dracc_doublet","agreement","score_spearman"
"ES",32658,25995,5002,916,745,94.9139567640394,0.856272828118122
"DE",32253,24233,6719,441,860,95.9662667038725,0.856574849470076
"DE_GemX",42630,33874,5688,568,2500,92.8031902416139,0.807304009686322
"PP1",11446,9228,1214,327,677,91.2283767254936,0.772808317680325
"PP2",26090,19295,5021,1529,245,93.2004599463396,0.904099091763476
"S5_1",29030,22115,4896,1753,266,93.0451257320014,0.876354839839278
"S5_2",32168,25260,5356,1030,522,95.1753295200199,0.893195054102743
"S6_1",24607,18961,3646,1505,495,91.8722314788475,0.885636419077895
"S6_2",22117,16532,3637,1602,346,91.1922955192838,0.844889143785694
"All",252999,195493,41179,9671,6656,93.5466148087542,0.84102357627131
