"stage","n_msk","n_dracc","n_shared","shared_over_msk","shared_over_dracc"
"ES",32670,33236,32658,99.9632690541781,98.2609218919244
"DE",32256,33123,32253,99.9906994047619,97.3734263200797
"DE_GemX",42991,43352,42630,99.1602893628899,98.3345635726149
"PP1",11446,13261,11446,100,86.313249377875
"PP2",26805,26394,26090,97.3325872038799,98.8482230810033
"S5_1",31974,29096,29030,90.7925189216238,99.7731646961782
"S5_2",32170,33253,32168,99.9937830276655,96.7371364989625
"S6_1",24607,25435,24607,100,96.7446432081777
"S6_2",25521,23078,22117,86.6619646565573,95.8358609931537
"All",260440,260228,252999,97.1429119950852,97.2220514318213
