"stage","n_msk","n_dracc","n_shared","shared_over_msk","shared_over_dracc"
"ES",26752,27489,25995,97.1703050239234,94.5650987667794
"DE",25096,25544,24233,96.5612049729041,94.8676792984654
"DE_GemX",36735,35164,33874,92.2117871239962,96.3314753725401
"PP1",9905,11364,9228,93.1650681474003,81.2038014783527
"PP2",20252,21128,19295,95.2745407860952,91.3243089738735
"S5_1",25324,23934,22115,87.3282261885958,92.3999331494944
"S5_2",25784,27375,25260,97.9677319267763,92.2739726027397
"S6_1",19456,21293,18961,97.4557976973684,89.0480439581083
"S6_2",20279,19095,16532,81.5227575324227,86.5776381251637
"All",209583,212386,195493,93.2771264844954,92.0460859002006
