"stage","n_msk","n_dracc","n_shared","shared_over_msk","shared_over_dracc"
"ES",35365,38584,35348,99.9519298741694,91.6131038772548
"DE",35365,38584,35348,99.9519298741694,91.6131038772548
"DE_GemX",35365,38584,35348,99.9519298741694,91.6131038772548
"PP1",35365,38584,35348,99.9519298741694,91.6131038772548
"PP2",35365,38584,35348,99.9519298741694,91.6131038772548
"S5_1",35365,38584,35348,99.9519298741694,91.6131038772548
"S5_2",35365,38584,35348,99.9519298741694,91.6131038772548
"S6_1",35365,38584,35348,99.9519298741694,91.6131038772548
"S6_2",35365,38584,35348,99.9519298741694,91.6131038772548
